Country,EdLevel,YearsCodePro,Employment,Salary
4,1,7,2,110568.0
13,4,6,2,120000.0
2,1,5,2,149922.0
8,0,25,2,114708.0
12,4,8,2,113075.0
13,3,10,2,225000.0
13,1,10,2,220000.0
13,7,11,2,180000.0
13,1,5,2,105000.0
10,1,16,2,358320.0
8,3,5,2,165000.0
8,3,5,0,165000.0
8,3,5,1,165000.0
8,3,5,4,165000.0
4,1,5,2,95979.0
10,0,22,2,44790.0
2,1,8,2,166319.0
1,4,34,2,13212.0
10,2,10,2,37325.0
12,3,6,2,62820.0
13,1,6,2,460000.0
13,1,4,2,120000.0
8,1,3,0,103908.0
8,1,3,1,103908.0
8,1,3,4,103908.0
8,1,8,2,18060.0
13,1,9,2,120000.0
13,3,3,2,120000.0
1,4,3,2,14208.0
12,1,4,2,75384.0
8,4,12,0,186670.0
8,4,12,1,186670.0
8,4,12,4,186670.0
8,4,13,2,79983.0
8,4,13,0,79983.0
8,4,13,1,79983.0
8,4,13,4,79983.0
12,3,1,2,542760.0
8,1,10,2,43524.0
13,1,8,2,162000.0
12,4,10,2,175895.0
13,4,2,2,115000.0
8,1,8,0,64500.0
8,1,8,1,64500.0
8,1,8,4,64500.0
8,1,2,2,66371.0
13,3,12,2,250000.0
13,1,6,2,160000.0
5,1,2,2,28374.0
13,1,12,2,160000.0
13,1,1,2,145.0
12,1,16,2,125639.0
12,1,3,2,55910.0
2,0,6,0,163977.0
2,0,6,1,163977.0
2,0,6,4,163977.0
13,4,13,2,88000.0
13,1,9,2,350000.0
8,1,2,2,72480.0
7,4,6,2,31993.0
0,1,3,2,849252.0
9,3,9,2,69372.0
8,0,2,0,3264.0
8,0,2,1,3264.0
8,0,2,4,3264.0
8,3,15,2,279233.0
8,1,12,2,57156.0
13,1,6,2,142500.0
13,1,6,0,142500.0
13,1,6,1,142500.0
13,1,6,4,142500.0
3,3,2,2,639864.0
12,7,20,2,87948.0
4,3,18,0,127968.0
4,3,18,1,127968.0
4,3,18,4,127968.0
8,3,27,2,111840.0
8,4,5,2,11244.0
13,2,20,2,134000.0
4,1,4,2,60040.0
13,4,6,2,175000.0
8,1,8,2,77688.0
4,7,17,0,74651.0
4,7,17,1,74651.0
4,7,17,4,74651.0
13,6,7,3,100000.0
3,3,4,2,38392.0
8,3,13,2,43584.0
3,3,1,2,49056.0
2,1,4,2,200000.0
12,1,10,2,138203.0
13,1,4,2,150000.0
12,7,12,2,1206132.0
13,1,8,2,147000.0
13,4,10,2,165000.0
1,1,5,2,16200.0
1,1,5,0,16200.0
1,1,5,1,16200.0
1,1,5,4,16200.0
6,7,12,2,36259.0
13,3,25,0,1500000.0
13,3,25,1,1500000.0
13,3,25,4,1500000.0
10,3,20,2,473496.0
5,3,6,2,24118.0
13,1,8,2,140000.0
13,1,7,2,116000.0
13,1,10,2,155000.0
13,1,16,2,175000.0
13,4,3,2,135000.0
2,1,9,2,5075450.0
13,1,6,2,6000000.0
2,3,7,2,2623632.0
13,1,2,2,140000.0
